2026-07-20 22:16:00,118 [INFO] CURR_VOL: 1092.1 | MEAN: 1023.3 | MEDIAN: 983.8 | DELTA: +0.0 | GROW: True
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 985.6 | MEAN: 1026.1 | MEDIAN: 988.7 | DELTA: +0.0 | GROW: False
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 1340.2 | MEAN: 1024.5 | MEDIAN: 985.6 | DELTA: +0.0 | GROW: True
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 917.0 | MEAN: 1036.7 | MEDIAN: 989.7 | DELTA: +0.0 | GROW: False
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 1238.8 | MEAN: 1032.2 | MEDIAN: 985.6 | DELTA: +0.0 | GROW: True
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 833.0 | MEAN: 1039.6 | MEDIAN: 989.7 | DELTA: +0.0 | GROW: False
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 1053.5 | MEAN: 1032.5 | MEDIAN: 985.6 | DELTA: +0.0 | GROW: True
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 885.7 | MEAN: 1033.2 | MEDIAN: 989.7 | DELTA: +0.0 | GROW: False
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 1043.6 | MEAN: 1028.4 | MEDIAN: 985.6 | DELTA: +0.0 | GROW: True
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 1318.8 | MEAN: 1028.9 | MEDIAN: 989.7 | DELTA: +0.0 | GROW: True
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 1013.3 | MEAN: 1037.7 | MEDIAN: 993.7 | DELTA: +0.0 | GROW: False
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 1052.3 | MEAN: 1037.0 | MEDIAN: 1003.5 | DELTA: +0.0 | GROW: True
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 1030.6 | MEAN: 1037.4 | MEDIAN: 1013.3 | DELTA: +0.0 | GROW: False
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 1032.2 | MEAN: 1037.2 | MEDIAN: 1022.0 | DELTA: +0.0 | GROW: False
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 1231.3 | MEAN: 1037.1 | MEDIAN: 1030.6 | DELTA: +0.0 | GROW: True
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 1018.9 | MEAN: 1042.2 | MEDIAN: 1031.4 | DELTA: +0.0 | GROW: False
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 1161.5 | MEAN: 1041.6 | MEDIAN: 1030.6 | DELTA: +0.0 | GROW: True
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 585.7 | MEAN: 1044.6 | MEDIAN: 1031.4 | DELTA: +0.0 | GROW: False
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 812.8 | MEAN: 1033.4 | MEDIAN: 1030.6 | DELTA: +0.0 | GROW: False
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 774.0 | MEAN: 1028.2 | MEDIAN: 1024.8 | DELTA: +0.0 | GROW: False
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 861.3 | MEAN: 1022.2 | MEDIAN: 1018.9 | DELTA: +0.0 | GROW: False
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 1051.9 | MEAN: 1018.6 | MEDIAN: 1016.1 | DELTA: +0.0 | GROW: True
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 765.6 | MEAN: 1019.3 | MEDIAN: 1018.9 | DELTA: +0.0 | GROW: False
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 1033.4 | MEAN: 1013.8 | MEDIAN: 1016.1 | DELTA: +0.0 | GROW: True
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 1149.2 | MEAN: 1014.2 | MEDIAN: 1018.9 | DELTA: +0.0 | GROW: True
2026-07-20 22:16:00,118 [INFO] CURR_VOL: 2500.0 | MEAN: 1017.0 | MEDIAN: 1024.8 | DELTA: +800.0 | GROW: True
2026-07-20 22:16:27,817 [INFO] CURR_VOL: 1151.3 | MEAN: 1016.2 | MEDIAN: 1019.2 | DELTA: +0.0 | GROW: True
