2026-07-20 21:59:16,399 [INFO] PriceChg:  +0.02% | VolRatio:  1.00 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 21:59:16,403 [INFO] PriceChg:  +1.50% | VolRatio:  2.50 | VolState: ANOMALY_HIGH | Div: STRONG_ACCUMULATION    | CVD: FLAT
2026-07-20 21:59:16,404 [INFO] PriceChg:  +0.66% | VolRatio:  0.40 | VolState: DRY_OUT      | Div: WEAK_GROWTH_NO_VOLUME  | CVD: FLAT
2026-07-20 21:59:16,406 [INFO] PriceChg:  +0.03% | VolRatio:  3.00 | VolState: ANOMALY_HIGH | Div: VOLUME_ABSORPTION      | CVD: FLAT
2026-07-20 22:05:23,339 [INFO] PriceChg:  +0.02% | VolRatio:  1.10 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:05:23,339 [INFO] PriceChg:  +0.05% | VolRatio:  1.19 | VolState: ANOMALY_HIGH | Div: VOLUME_ABSORPTION      | CVD: FLAT
2026-07-20 22:05:23,339 [INFO] PriceChg:  +0.05% | VolRatio:  1.13 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: BEARISH
2026-07-20 22:05:23,339 [INFO] PriceChg:  +0.01% | VolRatio:  0.84 | VolState: DRY_OUT      | Div: NORMAL                 | CVD: BEARISH
2026-07-20 22:05:24,353 [INFO] PriceChg:  +0.01% | VolRatio:  3.37 | VolState: ANOMALY_HIGH | Div: VOLUME_ABSORPTION      | CVD: BEARISH
2026-07-20 22:05:26,355 [INFO] PriceChg:  -0.03% | VolRatio:  0.76 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:05:28,359 [INFO] PriceChg:  +0.00% | VolRatio:  0.96 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:05:30,361 [INFO] PriceChg:  +0.03% | VolRatio:  0.81 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:05:32,362 [INFO] PriceChg:  -0.81% | VolRatio:  3.03 | VolState: ANOMALY_HIGH | Div: STRONG_DISTRIBUTION    | CVD: FLAT
2026-07-20 22:05:34,363 [INFO] PriceChg:  -0.01% | VolRatio:  3.61 | VolState: ANOMALY_HIGH | Div: VOLUME_ABSORPTION      | CVD: BEARISH
